Nom_Club,Championnat,Saison,Classement,Effectif
Chelsea FC,Premier League,2014-2015,1,"Thibaut Courtois, Mark Schwarzer, Mitchell Beeney, Petr Cech, Jamal Blackman, Nathan Aké, Andreas Christensen, Kurt Zouma, César Azpilicueta, Kenneth Omeruo, Tomas Kalas, Branislav Ivanovic, Filipe Luís, Gary Cahill, John Terry, Ruben Loftus-Cheek, Oscar, Nemanja Matić, Lewis Baker, Juan Cuadrado, Nathaniel Chalobah, Cesc Fàbregas, Ramires, John Obi Mikel, Dominic Solanke, Mohamed Salah, Jérémie Boga, Patrick Bamford, Willian, Diego Costa, Victor Moses, Fernando Torres, André Schürrle, Christian Atsu, Izzy Brown, Eden Hazard, Didier Drogba, Loïc Rémy"
Manchester City,Premier League,2014-2015,2,"Joe Hart, Willy Caballero, Richard Wright, Angeliño, Karim Rekik, Matija Nastasić, Eliaquim Mangala, Micah Richards, Bacary Sagna, Vincent Kompany, Pablo Zabaleta, Aleksandar Kolarov, Gaël Clichy, Martín Demichelis, Dedryck Boyata, Bersant Celina, James Milner, Bruno Zuculini, Fernando, José Pozo, Samir Nasri, Jesús Navas, Frank Lampard, David Silva, Fernandinho, Yaya Touré, George Glendon, Sinan Bytyqi, Edin Džeko, Thierry Ambrose, Stevan Jovetić, Scott Sinclair, Wilfried Bony, Sergio Agüero"
Arsenal FC,Premier League,2014-2015,3,"Esteban Andrada, Mauricio Aquino, Alejandro Limia, Dany Rosero, Hugo Nervo, Matías Zaldivia, Salvador Sánchez, Marcos Curado, Claudio Corvalán, Damián Pérez, Federico Milo, Cristian Chimino, José San Román, Matías Sarulyte, Nicolás Correa, Jorge Curbelo, Matías Campos Toro, Leandro Godoy, Iván Varga, Ramiro Carrera, Federico Lértora, Iván Marcone, Milton Céliz, Brahian Alemán, Cristian Chávez, Miguel Caneo, Ramiro López, Nicolás Aguirre, Jorge Baéz, Julián Cardozo, Hernán Fredes, Gastón Esmerado, Gabriel Flores, Gonzalo Giménez, Sebastián Palacios, Santiago Tréllez, Federico Laurito, Gonzalo González, Federico Rasic, Emilio Zelaya, Pablo Burzio, Enzo Prono, Ezequiel Ruiz, Bryan Schmidt, Lucas Pugh, Maximiliano Herrera, Esteban Ciaccheri, Franco Costa, Santiago Silva, Fabián Muñoz"
Manchester United,Premier League,2014-2015,4,"Sam Johnstone, David de Gea, Ben Amos, Anders Lindegaard, Víctor Valdés, Luke Shaw, Michael Keane, Paddy McNair, Daley Blind, Chris Smalling, Saidy Janko, Ashley Young, Reece James, Marcos Rojo, Tyler Blackett, Marnick Vermijl, Tom Thorpe, Rafael, Phil Jones, Jonny Evans, Antonio Valencia, Andreas Pereira, Jesse Lingard, Ander Herrera, Juan Mata, Nick Powell, Shinji Kagawa, Darren Fletcher, Anderson, Michael Carrick, Tom Cleverley, Marouane Fellaini, Danny Welbeck, Wilfried Zaha, Ángel Di María, Adnan Januzaj, Will Keane, Chicharito, James Wilson, Radamel Falcao, Nani, Wayne Rooney, Robin van Persie"
Tottenham Hotspur,Premier League,2014-2015,5,"Hugo Lloris, Luke McGee, Jordan Archer, Michel Vorm, Brad Friedel, Eric Dier, Ben Davies, Milos Veljkovic, Kyle Walker, DeAndre Yedlin, Kyle Naughton, Michael Dawson, Bongani Khumalo, Grant Hall, Danny Rose, Younès Kaboul, Jan Vertonghen, Federico Fazio, Harry Winks, Nabil Bentaleb, Christian Eriksen, Dele Alli, Lewis Holtby, Alex Pritchard, Josh Onomah, Benjamin Stambouli, Dominic Ball, Vlad Chiricheș, Tom Carroll, Sandro, Cristian Ceballos, Paulinho, Mousa Dembélé, Étienne Capoue, Ryan Mason, Harry Kane, Andros Townsend, Aaron Lennon, Roberto Soldado, Emmanuel Adebayor, Erik Lamela, Nacer Chadli"
Liverpool FC,Premier League,2014-2015,6,"Simon Mignolet, Danny Ward, Brad Jones, Emre Can, Alberto Moreno, Dejan Lovren, Sebastián Coates, Mamadou Sakho, Glen Johnson, José Enrique, Kolo Touré, Javier Manquillo, Martin Skrtel, Jon Flanagan, Andre Wisdom, Philippe Coutinho, Jordan Henderson, João Carlos Teixeira, Cameron Brannagan, MJ Williams, Jordan Rossiter, Steven Gerrard, Adam Lallana, Lucas Leiva, Joe Allen, Raheem Sterling, Suso, Lazar Markovic, Sheyi Ojo, Mario Balotelli, Fabio Borini, Jordon Ibe, Jerome Sinclair, Rickie Lambert, Daniel Sturridge"
Southampton FC,Premier League,2014-2015,7,"Paulo Gazzaniga, Fraser Forster, Kelvin Davis, Artur Boruc, Matt Targett, Jack Stephens, Nathaniel Clyne, Maya Yoshida, José Fonte, Sam McQueen, Jason McCarthy, Florin Gardoș, Toby Alderweireld, Ryan Bertrand, Jos Hooiveld, James Ward-Prowse, Harrison Reed, Filip Djuricic, Victor Wanyama, Gastón Ramírez, Dominic Gape, Jack Cork, Saphir Taïder, Jake Hesketh, Morgan Schneiderlin, Steven Davis, Jake Flannigan, Sadio Mané, Dušan Tadić, Sam Gallagher, Jay Rodríguez, Lloyd Isgrove, Ryan Seager, Shane Long, Graziano Pellè, Eljero Elia, Emmanuel Mayuka"
Swansea City,Premier League,2014-2015,8,"Lukasz Fabianski, David Cornell, Gerhard Tremmel, Jordi Amat, Liam Shephard, Stephen Kingsley, Kyle Naughton, Alan Tate, Dwight Tiendalli, Jazz Richards, Raheem Hanley, Neil Taylor, Ashley Williams, Ángel Rangel, Kyle Bartley, Federico Fernández, Matt Grimes, Jay Fulton, Josh Sheehan, Sung-yueng Ki, Gylfi Sigurdsson, Tom Carroll, Adam King, Leon Britton, Jonjo Shelvey, Jack Cork, Kenji Gorré, Modou Barrow, Nélson Oliveira, Wilfried Bony, Rory Donnelly, Marvin Emnes, Nathan Dyer, Wayne Routledge, Bafétimbi Gomis, Jefferson Montero"
Stoke City,Premier League,2014-2015,9,"Jack Butland, Asmir Begovic, Thomas Sörensen, Marc Muniesa, Erik Pieters, Robert Huth, Phil Bardsley, Marc Wilson, Ryan Shawcross, Geoff Cameron, Dionatan Teixeira, Philipp Wollscheid, Andy Wilkinson, Steven Nzonzi, Jamie Ness, Glenn Whelan, Stephen Ireland, Wilson Palacios, Charlie Adam, Steve Sidwell, Oliver Shenton, Marko Arnautovic, Victor Moses, Mame Diouf, Oussama Assaidi, Peter Odemwingie, Jonathan Walters, Peter Crouch, Bojan Krkic, Adam Thomas"
Crystal Palace,Premier League,2014-2015,10,"Julián Speroni, Wayne Hennessey, Chris Kettings, Lewis Price, Joel Ward, Adrian Mariappa, Brede Hangeland, Patrick McCarthy, Scott Dann, Zeki Fryers, Jerome Binnom-Williams, Damien Delaney, Martin Kelly, Pape Souaré, Peter Ramage, Barry Bannan, Jonny Williams, Stuart O'Keefe, Hiram Boateng, Jake Gray, Adlène Guédioura, Mile Jedinak, James McArthur, Jordon Mutch, Joe Ledley, Owen Garvan, Jason Puncheon, Wilfried Zaha, Chung-yong Lee, Yannick Bolasie, Sullay Kaikai, Yaya Sanogo, Stephen Dobbie, Andy Johnson, Kevin Doyle, Fraizer Campbell, Jerome Thomas, Dwight Gayle, Glenn Murray, Shola Ameobi, Marouane Chamakh, Kwesi Appiah"
Everton FC,Premier League,2014-2015,11,"Joel Robles, Russell Griffiths, Tim Howard, John Stones, Jonjoe Kenny, Tyias Browning, Gethin Jones, Séamus Coleman, Brendan Galloway, Bryan Oviedo, Luke Garbutt, Tony Hibbert, Leighton Baines, Phil Jagielka, Sylvain Distin, Antolín Alcaraz, Ross Barkley, John Lundstram, Ryan Ledson, Joe Williams, Kieran Dowell, Muhamed Besic, Conor Grant, Francisco Júnior, Darron Gibson, James McCarthy, Gareth Barry, Leon Osman, Steven Pienaar, Romelu Lukaku, Chris Long, Conor McAleny, Samuel Eto'o, Aaron Lennon, Christian Atsu, Courtney Duffus, Aiden McGeady, Arouna Koné, Kevin Mirallas, Steven Naismith"
