search_name,id,name,shortName,abbreviation,isNationalTeam,countryId,stadium,city,capacity,averageAge,currentMarketValue,currentMarketCurrency,primaryCompetitionId,crestUrl,relativeUrl
Chelsea FC,631,Chelsea FC,Chelsea,CHE,False,189,Fulham Road,London,31,23.66,1183500000.0,EUR,GB1,https://tmssl.akamaized.net/images/wappen/big/631.png,/chelsea-fc/startseite/verein/631
Manchester City,281,Manchester City,Man City,MCI,False,189,"Etihad Stadium, Etihad Campus",Manchester,27,26.3,1207500000.0,EUR,GB1,https://tmssl.akamaized.net/images/wappen/big/281.png,/manchester-city/startseite/verein/281
Arsenal FC,11,Arsenal FC,Arsenal,ARS,False,189,"Highbury House, 75 Drayton Park",London,25,25.88,1306000000.0,EUR,GB1,https://tmssl.akamaized.net/images/wappen/big/11.png,/arsenal-fc/startseite/verein/11
Manchester United,985,Manchester United,Man Utd,MUN,False,189,Sir Matt Busby Way,Manchester,26,25.76,719150000.0,EUR,GB1,https://tmssl.akamaized.net/images/wappen/big/985.png,/manchester-united/startseite/verein/985
Tottenham Hotspur,148,Tottenham Hotspur,Tottenham,TOT,False,189,"Bill Nicholson Way, 748 High Road",London,29,25.46,878500000.0,EUR,GB1,https://tmssl.akamaized.net/images/wappen/big/148.png,/tottenham-hotspur/startseite/verein/148
Liverpool FC,31,Liverpool FC,Liverpool,LIV,False,189,Anfield Road,Liverpool,26,25.94,1042500000.0,EUR,GB1,https://tmssl.akamaized.net/images/wappen/big/31.png,/liverpool-fc/startseite/verein/31
Southampton FC,180,Southampton FC,Southampton,SOU,False,189,Britannia Road,Southampton,28,26.09,183000000.0,EUR,GB2,https://tmssl.akamaized.net/images/wappen/big/180.png,/southampton-fc/startseite/verein/180
Swansea City,2288,Swansea City,Swansea,SWA,False,191,Landore,Swansea,26,25.57,69550000.0,EUR,GB2,https://tmssl.akamaized.net/images/wappen/big/2288.png,/swansea-city/startseite/verein/2288
Stoke City,512,Stoke City,Stoke City,STK,False,189,Stanley Matthews Way,Stoke-on-Trent,26,27.02,66875000.0,EUR,GB2,https://tmssl.akamaized.net/images/wappen/big/512.png,/stoke-city/startseite/verein/512
Crystal Palace,873,Crystal Palace,Crystal Palace,CRY,False,189,Selhurst Park,London,28,25.88,501600000.0,EUR,GB1,https://tmssl.akamaized.net/images/wappen/big/873.png,/crystal-palace/startseite/verein/873
Everton FC,29,Everton FC,Everton,EVE,False,189,Goodison Park,Liverpool,24,26.93,400850000.0,EUR,GB1,https://tmssl.akamaized.net/images/wappen/big/29.png,/everton-fc/startseite/verein/29
West Ham United,379,West Ham United,West Ham,WHU,False,189,"London Stadium, Queen Elizabeth Olympic ",London,25,27.3,371250000.0,EUR,GB1,https://tmssl.akamaized.net/images/wappen/big/379.png,/west-ham-united/startseite/verein/379
West Bromwich Albion,984,West Bromwich Albion,West Brom,WBA,False,189,Halfords Lane,"West Bromwich, West Mids.",22,26.34,80800000.0,EUR,GB2,https://tmssl.akamaized.net/images/wappen/big/984.png,/west-bromwich-albion/startseite/verein/984
Leicester City,1003,Leicester City,Leicester,LEI,False,189,Filbert Way,Leicester,27,26.15,162400000.0,EUR,GB2,https://tmssl.akamaized.net/images/wappen/big/1003.png,/leicester-city/startseite/verein/1003
