id,name,dateOfBirth,positionName,positionShortName,portraitUrl,currentMarketValue,Historique_Clubs_Stats,taille,Nationalité 1,Nationalité 2
10,Miroslav Klose,1978-06-09,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/10-1448468291.jpg,0.0,"SS Lazio (2014-2015): 14B, 17PD | SS Lazio (2015-2016): 12B, 14PD",1.84,Allemagne,
26,Roman Weidenfeller,1980-08-06,Goalkeeper,GK,https://img.a.transfermarkt.technology/portrait/big/26-1471509813.jpg,0.0,"Borussia Dortmund (2014-2015): 0B, 0PD | Borussia Dortmund (2015-2016): 0B, 0PD | Borussia Dortmund (2016-2017): 0B, 0PD | Borussia Dortmund (2017-2018): 2B, 0PD",1.9,Allemagne,
70,Emerson,1976-04-04,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/s_70_123_2013_10_02_1.jpg,0.0,"Chelsea FC (2017-2018): 2B, 1PD | Chelsea FC (2018-2019): 3B, 0PD | Chelsea FC (2019-2020): 3B, 3PD | Chelsea FC (2020-2021): 8B, 0PD | Chelsea FC (2021-2022): 1B, 0PD | West Ham United (2022-2023): 6B, 10PD | West Ham United (2023-2024): 4B, 7PD | West Ham United (2024-2025): 6B, 19PD | Palermo FC (2014-2015): 9B, 0PD | AS Roma (2015-2016): 7B, 2PD | AS Roma (2016-2017): 7B, 5PD | AS Roma (2017-2018): 1B, 0PD | Olympique Lyon (2021-2022): 4B, 6PD",,Brésil,Allemagne
80,Tom Starke,1981-03-18,Goalkeeper,GK,https://img.a.transfermarkt.technology/portrait/big/80-1471439914.JPG,0.0,"Bayern Munich (2014-2015): 0B, 0PD | Bayern Munich (2015-2016): 0B, 0PD | Bayern Munich (2016-2017): 0B, 0PD | Bayern Munich (2017-2018): 0B, 0PD",1.94,Allemagne,
215,Roque Santa Cruz,1981-08-16,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/215-1715774118.JPG,250000.0,"Málaga CF (2014-2015): 1B, 4PD | Málaga CF (2015-2016): 14B, 1PD",1.93,Paraguay,Espagne
410,Sebastian Kehl,1980-02-13,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/410-1701172571.jpg,0.0,"Borussia Dortmund (2014-2015): 4B, 6PD",1.87,Allemagne,
488,Gerhard Tremmel,1978-11-16,Goalkeeper,GK,https://img.a.transfermarkt.technology/portrait/big/s_488_2288_2013_10_18_1.jpg,0.0,"Swansea City (2014-2015): 1B, 0PD | Swansea City (2015-2016): 0B, 0PD | Swansea City (2016-2017): 0B, 0PD | SV Werder Bremen (2015-2016): 0B, 0PD",,Allemagne,
532,Claudio Pizarro,1978-10-03,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/532-1535124277.jpg,0.0,"Bayern Munich (2014-2015): 15B, 1PD | SV Werder Bremen (2015-2016): 12B, 10PD | SV Werder Bremen (2016-2017): 9B, 8PD | SV Werder Bremen (2018-2019): 26B, 4PD | SV Werder Bremen (2019-2020): 19B, 0PD",1.84,Pérou,Italie
568,Martin Stranzl,1980-06-16,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/568-1437474557.jpg,0.0,"Borussia Mönchengladbach (2014-2015): 1B, 3PD | Borussia Mönchengladbach (2015-2016): 2B, 1PD",,Autriche,
598,Timo Hildebrand,1979-04-05,Goalkeeper,GK,https://img.a.transfermarkt.technology/portrait/big/598-1540373444.jpg,0.0,"Eintracht Frankfurt (2014-2015): 0B, 0PD",,Allemagne,
604,Krisztián Lisztes,1976-07-02,Attacking Midfield,AM,https://img.a.transfermarkt.technology/portrait/big/604-1544548011.jpg,0.0,"Eintracht Frankfurt (2024-2025): 0B, 0PD",,Hongrie,
